"","ano","titulo","cantantes","genero_del_cantante","genero_de_la_cancion","i_b1","i_b2","i_c4","i_c1","i_c2","i_c3","i_a2","i_a5","i_a6","i_a1","i_a4","i_a3","sin_indicadores","i_a7","dudas","dudas_consultar","genero_agrupado","suma_ic","suma_ia","indicadores_totales","indicadores_feminista"
"70",2016,"SORRY","JUSTIN BIEBER",1,"pop",0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,"Pop",0,4,4,0
"71",2017,"BAILAME","NACHO",1,"regueton",0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,"regueton",0,8,8,0
"72",2017,"DESPACITO","LUSI FONSI",1,"regueton",0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,"regueton",0,4,4,0
"73",2017,"EL AMANTE","NICKY JAM",1,"regueton",0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,"regueton",0,6,6,0
"74",2017,"ESCAPATE CONMIGO","WISIN / OZUNA",1,"regueton",0,0,0,0,0,0,2,0,1,3,1,3,0,0,0,0,"regueton",0,10,10,0
"75",2017,"FELICES LOS 4","MALUMA",1,"regueton",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,"regueton",0,3,3,0
"76",2017,"ME REHUSO","DANNY OCEAN",1,"regueton",0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,"regueton",0,6,6,0
"77",2017,"MI GENTE","J BALVIN / WILLY WILLIAM",1,"regueton",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"regueton",0,0,0,0
"78",2017,"REGAETTON LENTO","CNCO",1,"regueton",0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,"regueton",0,5,5,0
"79",2017,"SHAPE OF YOU","ED SHEERAN",1,"pop",0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,"Pop",0,4,4,0
"80",2017,"SUBEME LA RADIO","ENRIQUE IGLESIAS / DESCEMER BUENO / ZION & LENNOX",1,"regueton",0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,"regueton",0,4,4,0
"81",2018,"1, 2, 3","SOFIA REYES / JASON DERULO / DE LA GHETTO",2,"pop",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,"Pop",0,3,3,0
"82",2018,"DURA","DADDY YANKEE",1,"regueton",0,0,0,0,0,0,3,1,0,6,0,1,0,0,0,0,"regueton",0,11,11,0
"83",2018,"LO MALO","AITANA / ANA GUERRA",0,"pop",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pop",0,0,0,8
"84",2018,"ME NIEGO","REIK / OZUNA / WISIN",1,"regueton",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,"regueton",0,10,10,0
"85",2018,"SIN PIJAMA","BECKY G / NATTI NATASHA",0,"regueton",4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"regueton",2,0,2,4
"86",2018,"TE BOTE","NIO GARCIA / DARELL / CASPER MAGICO",1,"regueton",0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,"regueton",0,6,6,0
"87",2018,"TELEFONO","AITANA",0,"pop",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pop",0,0,0,6
"88",2018,"USTED","JUAN MAGÁN / MALA RODRÍGUEZ",2,"regueton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"regueton",0,0,0,0
"89",2018,"VAINA LOCA","OZUNA / MANUEL TURIZO",1,"regueton",0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,"regueton",0,6,6,0
"90",2018,"X EQUIS","NICKY JAM / J BALVIN",1,"regueton",0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,"regueton",0,7,7,0
"91",2019,"ADAN Y EVA","PAULO LONDRA",1,"regueton",0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,"regueton",0,6,6,0
"92",2019,"BAILA BAILA BAILA","OZUNA",1,"regueton",0,0,0,0,0,0,2,0,0,2,0,2,0,1,0,0,"regueton",0,7,7,0
"93",2019,"CALLAITA","BAD BUNNY / TAINY",1,"regueton",0,0,0,0,0,0,3,1,0,2,0,1,0,0,0,0,"regueton",0,7,7,0
"94",2019,"CALMA REMIX","PEDRO CAPÓ / FARRUKO",1,"regueton",0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,"regueton",0,7,7,0
"95",2019,"CHINA","ANUEL AA / DADDY YANKEE / KAROL G / J BALVIN / OZUNA",2,"regueton",0,0,0,0,0,0,3,5,2,4,0,0,0,0,0,0,"regueton",0,14,14,0
"96",2019,"CON ALTURA","ROSALÍA / J BALVIN / EL GUINCHO",2,"regueton",2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,"regueton",0,3,3,2
"97",2019,"CON CALMA","DADDY YANKEE / SNOW",1,"regueton",0,0,0,0,0,0,3,1,2,5,0,3,0,0,0,0,"regueton",0,14,14,0
"98",2019,"CONTANDO LUNARES","DON PATRICIO / CRUZ CAFUNÉ",1,"trap",0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,"Hiphop",0,7,7,0
"99",2019,"NO ME CONOCE","JHAY CORTEZ",1,"regueton",0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,"regueton",0,7,7,0
"100",2019,"SOLTERA REMIX","LUNAY / DADDY YANKEE / BAD BUNNY",1,"regueton",3,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,"regueton",0,5,5,3
"101",2020,"BLINDING LIGHTS","THE WEEKDN",1,"pop",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"Pop",0,4,4,0
"102",2020,"CARAMELO","OZUNA",1,"regueton",0,0,0,0,0,0,2,4,0,4,0,0,0,1,0,0,"regueton",0,11,11,0
"103",2020,"DANCE MONKEY","TONES AND I",0,"pop",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Pop",2,0,2,1
"104",2020,"HAWAI","MALUMA",1,"regueton",0,0,0,0,0,0,5,2,1,1,0,0,0,3,0,0,"regueton",0,12,12,0
"105",2020,"LA CURIOSIDAD","JAY WHEELER / DJ NELSON / MYKE TOWERS",1,"regueton",0,0,0,0,0,0,4,4,0,2,1,1,0,0,0,0,"regueton",0,12,12,0
"106",2020,"LA JEEPETA REMIX","NIO GARCIA / ANUEL AA / MYKE TOWERS / BRRAY / JUHN",1,"regueton",0,0,0,0,0,0,3,0,0,8,1,1,0,2,0,0,"regueton",0,15,15,0
"107",2020,"PORFA","FEID / JUSTIN QUILES",1,"regueton",0,0,0,0,0,0,0,7,0,1,0,2,0,0,0,0,"regueton",0,10,10,0
"108",2020,"SE ILUMINABA","FRED DE PALMA / ANA MENA",2,"regueton",0,0,0,0,0,2,1,2,0,1,1,1,0,0,0,0,"regueton",2,6,8,0
"109",2020,"TATTO","RAUW ALEJANDRO / CAMILO",1,"regueton",0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,"regueton",0,6,6,0
"110",2020,"TUSA","KAROL G / NICKI MINAJ",0,"regueton - rap",4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hiphop",1,0,1,7
